=============== RESTART: C:/Users/蔡弘祥/Desktop/普物程式/HW3/HW3.py ==============
第 232 次的週期約為 6430 天;目前平均約為 6484 天
第 233 次的週期約為 6515 天;目前平均約為 6484 天
第 234 次的週期約為 6518 天;目前平均約為 6484 天
第 235 次的週期約為 6427 天;目前平均約為 6484 天
第 236 次的週期約為 6517 天;目前平均約為 6484 天
第 237 次的週期約為 6529 天;目前平均約為 6484 天
第 238 次的週期約為 6421 天;目前平均約為 6484 天
第 239 次的週期約為 6513 天;目前平均約為 6484 天
第 240 次的週期約為 6429 天;目前平均約為 6484 天
第 241 次的週期約為 6522 天;目前平均約為 6484 天
第 242 次的週期約為 6519 天;目前平均約為 6484 天
第 243 次的週期約為 6426 天;目前平均約為 6484 天
第 244 次的週期約為 6517 天;目前平均約為 6484 天
第 245 次的週期約為 6433 天;目前平均約為 6484 天
第 246 次的週期約為 6512 天;目前平均約為 6484 天
第 247 次的週期約為 6516 天;目前平均約為 6484 天
第 248 次的週期約為 6430 天;目前平均約為 6484 天
第 249 次的週期約為 6516 天;目前平均約為 6484 天
第 250 次的週期約為 6518 天;目前平均約為 6484 天
第 251 次的週期約為 6426 天;目前平均約為 6484 天
第 252 次的週期約為 6517 天;目前平均約為 6484 天
第 253 次的週期約為 6432 天;目前平均約為 6484 天
第 254 次的週期約為 6514 天;目前平均約為 6484 天
第 255 次的週期約為 6516 天;目前平均約為 6484 天
第 256 次的週期約為 6429 天;目前平均約為 6484 天
第 257 次的週期約為 6522 天;目前平均約為 6484 天
第 258 次的週期約為 6520 天;目前平均約為 6484 天
第 259 次的週期約為 6426 天;目前平均約為 6484 天
第 260 次的週期約為 6516 天;目前平均約為 6484 天
第 261 次的週期約為 6432 天;目前平均約為 6484 天
第 262 次的週期約為 6514 天;目前平均約為 6484 天
第 263 次的週期約為 6517 天;目前平均約為 6484 天
第 264 次的週期約為 6429 天;目前平均約為 6484 天
第 265 次的週期約為 6516 天;目前平均約為 6484 天
第 266 次的週期約為 6520 天;目前平均約為 6484 天
第 267 次的週期約為 6425 天;目前平均約為 6484 天
第 268 次的週期約為 6516 天;目前平均約為 6484 天
第 269 次的週期約為 6431 天;目前平均約為 6484 天
第 270 次的週期約為 6515 天;目前平均約為 6484 天
第 271 次的週期約為 6517 天;目前平均約為 6484 天
第 272 次的週期約為 6427 天;目前平均約為 6484 天
第 273 次的週期約為 6523 天;目前平均約為 6484 天
第 274 次的週期約為 6522 天;目前平均約為 6484 天
第 275 次的週期約為 6424 天;目前平均約為 6484 天
第 276 次的週期約為 6515 天;目前平均約為 6484 天
第 277 次的週期約為 6432 天;目前平均約為 6484 天
第 278 次的週期約為 6515 天;目前平均約為 6484 天
第 279 次的週期約為 6518 天;目前平均約為 6484 天
第 280 次的週期約為 6428 天;目前平均約為 6484 天
第 281 次的週期約為 6517 天;目前平均約為 6484 天
第 282 次的週期約為 6522 天;目前平均約為 6484 天
第 283 次的週期約為 6423 天;目前平均約為 6484 天
第 284 次的週期約為 6516 天;目前平均約為 6484 天
第 285 次的週期約為 6430 天;目前平均約為 6484 天
第 286 次的週期約為 6515 天;目前平均約為 6484 天
第 287 次的週期約為 6518 天;目前平均約為 6484 天
第 288 次的週期約為 6427 天;目前平均約為 6484 天
第 289 次的週期約為 6517 天;目前平均約為 6484 天
第 290 次的週期約為 6444 天;目前平均約為 6484 天
第 291 次的週期約為 6508 天;目前平均約為 6484 天
第 292 次的週期約為 6515 天;目前平均約為 6484 天
第 293 次的週期約為 6425 天;目前平均約為 6484 天
第 294 次的週期約為 6522 天;目前平均約為 6484 天
第 295 次的週期約為 6519 天;目前平均約為 6484 天
第 296 次的週期約為 6426 天;目前平均約為 6484 天
第 297 次的週期約為 6517 天;目前平均約為 6484 天
第 298 次的週期約為 6432 天;目前平均約為 6484 天
第 299 次的週期約為 6513 天;目前平均約為 6484 天
第 300 次的週期約為 6516 天;目前平均約為 6484 天
第 301 次的週期約為 6430 天;目前平均約為 6484 天
第 302 次的週期約為 6516 天;目前平均約為 6484 天
第 303 次的週期約為 6519 天;目前平均約為 6484 天
第 304 次的週期約為 6426 天;目前平均約為 6484 天
